AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle
2.89996338,88.4957428,90.57865359,9.889607247,-1.12590027,-0.2773,46.66666794,82,158,2148,33.38000107,13,0.359,11.83256435,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.29998779,88.4957428,90.37223867,8.120983608,0.0,-0.1836,0.0,82,120,2093,23.90999985,14,0.348,11.78154659,SmoothCondition,LowCongestionCondition,EvenPaceStyle
3.59997558,86.91947937,90.16207085,6.856830894,-1.57626343,-0.1445,17.25490189,82,117,2056,22.20999908,13,0.402,11.72604084,SmoothCondition,LowCongestionCondition,EvenPaceStyle
4.5,84.44249725,89.91812592,6.003066567,-2.47698212,-0.1172,58.03921509,82,158,2047,29.29999924,13,0.461,11.69114113,SmoothCondition,LowCongestionCondition,EvenPaceStyle
6.09997559,83.99214172,89.71171099,5.847868744,-0.45035553,-0.207,62.74509811,82,178,2069,35.93999863,14,0.566,11.68202114,SmoothCondition,LowCongestionCondition,EvenPaceStyle
6.4000244,84.6676712,89.53907293,5.770121487,0.67552948,-0.3242,68.62744904,82,183,2094,39.31999969,15,0.613,11.68294811,SmoothCondition,LowCongestionCondition,EvenPaceStyle
7.10003661,85.79357147,89.39645882,5.59485728,1.12590027,-0.3906,67.05882263,82,176,2115,36.70999908,15,0.543,11.68362713,SmoothCondition,LowCongestionCondition,EvenPaceStyle
8.20001221,86.46912384,89.28011589,5.447880844,0.67555237,-0.3398,60.39215851,82,165,2129,36.70999908,15,0.484,11.68362713,SmoothCondition,LowCongestionCondition,EvenPaceStyle
8.29998779,87.14466095,89.19004402,5.335812437,0.67553711,-0.1992,20.7843132,82,141,2101,32.09000015,14,0.457,11.66325283,SmoothCondition,LowCongestionCondition,EvenPaceStyle
8.00000001,86.69429779,89.096219,5.265984302,-0.45036316,-0.1094,0.0,82,120,2056,23.04000092,13,0.434,11.59989929,SmoothCondition,LowCongestionCondition,EvenPaceStyle
